"","SCINAME","Species","Length","a","b","w_max","l_mat","age_mat","w_mat","beta","sigma","min_ppmr","max_ppmr","beta_adj","min_ppmr_adj","w_min"
"1","AMMODYTES DUBIUS","Ammodytes americanus",23.5,0.00204174011014402,3.16000008583069,43.9111714324333,8.75,NA,1.93528971693442,2.88452473345913e-06,0.579385364579248,1.01018085100103e-07,3.81642024620709e-05,1.44226236672957e-06,5.05090425500513e-08,0.001
"2","CLUPEA HARENGUS","Clupea harengus",45,0.00562340999022126,3.08999991416931,721.815616454943,25.2999992370605,3,121.798516217361,3.87889264703728e-06,0.807373745916214,1.36827686162352e-08,0.000178999118027407,1.93944632351864e-06,6.84138430811762e-09,0.001
"3","GADUS MORHUA","Gadus morhua",200,0.00676083005964756,3.07999992370605,82636.5601293872,66.4899978637695,6.17999982833862,2780.28516937002,4.51667061532052e-05,1.25281289461215,7.99696712247226e-10,0.0179082847431594,2.25833530766026e-05,3.99848356123613e-10,0.001
"4","GLYPTOCEPHALUS CYNOGLOSSUS","Glyptocephalus cynoglossus",60,0.00457087997347116,3.07999992370605,1369.95257444314,29,4.5,145.943762801198,5.04806867946394e-05,1.67426309458927,7.13716433868646e-09,0.00045245708417521,2.52403433973197e-05,3.56858216934323e-09,0.001
"5","HIPPOGLOSSOIDES PLATESSOIDES","Hippoglossoides platessoides",82.5999984741211,0.00645653996616602,3.05999994277954,4741.96838546508,26,6.42999982833862,137.980656671567,1.0083696053959e-05,0.966665588145906,5.7704774672926e-08,0.000124076038318404,5.04184802697949e-06,2.8852387336463e-08,0.001
"6","HIPPOGLOSSUS HIPPOGLOSSUS","Hippoglossus hippoglossus",470,0.00549540994688869,3.17000007629395,1623867.19736494,84,5.90000009536743,6917.7614063819,6.16628624875063e-06,1.09177615034875,4.63595704972216e-09,0.000125750574316498,3.08314312437531e-06,2.31797852486108e-09,0.001
"7","MELANOGRAMMUS AEGLEFINUS","Melanogrammus aeglefinus",112,0.00660692993551493,3.07999992370605,13539.1392429201,35,2.79999995231628,376.46894768166,0.000260635563630859,1.56151581930379,8.54981098386191e-10,0.00755505762602037,0.000130317781815429,4.27490549193095e-10,0.001
"8","MERLUCCIUS BILINEARIS","Merluccius bilinearis",76,0.00478630000725389,3.10999989509583,3383.21806870523,22.9000005722046,1.65000003576279,81.1125692713599,1.37358774540729e-06,0.901344914816353,5.01444607772616e-10,0.000171060632292133,6.86793872703644e-07,2.50722303886308e-10,0.001
"9","REINHARDTIUS HIPPOGLOSSOIDES","Reinhardtius hippoglossoides",110,0.00363077991642058,3.19000005722046,11804.3670983522,62.5,9,1944.72090435162,1.98326647806869e-08,0.171899927640682,8.90941416264935e-09,4.04047784099524e-08,9.91633239034345e-09,4.45470708132468e-09,0.001
"10","SEBASTES FASCIATUS","Sebastes fasciatus",47,0.0102329002693295,3.13000011444092,1752.52906045456,21.5999994277954,5.5,153.758487865887,5.64942505816417e-06,1.13532545469053,1.647909105607e-09,0.00032246170491402,2.82471252908209e-06,8.23954552803502e-10,0.001
"11","SQUALUS ACANTHIAS","Squalus acanthias",160,0.00275423005223274,3.07999992370605,16931.2721726866,79,10,1926.15622721403,1.76831608025271e-05,1.01326021662369,1.47391959600291e-09,0.0075867221061605,8.84158040126357e-06,7.36959798001453e-10,0.001
"12","UROPHYCIS TENUIS","Urophycis tenuis",133,0.00398107012733817,3.16000008583069,20481.9449992777,33.8999996185303,1.39999997615814,272.540463423804,2.57646988867266e-06,0.991458080097169,8.22096440523203e-10,0.000343936624609297,1.28823494433633e-06,4.11048220261602e-10,117.846239560719
